Date,hfck,sbic,scbk,cic,imh,bkg,ncba,eqty,kcb,ctum,coop,brit,absa,Share_Price
2014-01-13,33.75,89.0,309.0,5.75,118.0,,60.0,33.75,46.75,35.25,18.1,16.45,17.2,33.75
2014-01-14,34.0,88.5,306.0,5.8,117.0,,61.0,33.75,46.75,36.5,18.25,16.45,17.3,34.0
2014-01-15,33.25,88.5,305.0,5.65,118.0,,60.5,33.0,46.0,38.25,18.45,16.45,17.35,33.25
2014-01-16,33.0,89.5,304.0,5.75,119.0,,60.5,32.75,45.75,39.25,18.5,16.75,17.4,33.0
2014-01-17,33.75,89.0,302.0,5.7,120.0,,61.0,32.25,45.75,39.5,18.55,17.0,17.3,33.75
2014-01-20,33.75,89.5,303.0,5.8,122.0,,61.0,32.0,45.25,39.0,18.65,17.8,17.55,33.75
2014-01-21,34.0,91.5,302.0,5.85,123.0,,61.0,32.75,45.5,38.5,18.75,18.65,17.6,34.0
2014-01-22,34.0,91.5,304.0,6.15,128.0,,61.0,32.5,45.5,37.5,18.9,18.2,17.75,34.0
2014-01-23,34.0,93.5,303.0,6.4,128.0,,61.5,32.25,45.5,36.75,18.95,18.6,18.0,34.0
2014-01-24,34.0,98.0,304.0,6.45,132.0,,61.5,32.75,45.75,36.75,19.1,18.9,18.15,34.0
2014-01-27,33.75,98.5,304.0,6.5,138.0,,61.0,32.75,46.0,37.5,19.05,19.4,18.2,33.75
2014-01-28,33.5,97.5,303.0,6.55,138.0,,61.0,32.75,46.25,37.75,19.0,19.85,17.95,33.5
2014-01-29,32.5,92.5,302.0,6.65,138.0,,60.5,32.0,45.5,37.5,18.4,19.3,17.5,32.5
2014-01-30,31.0,89.5,301.0,6.7,135.0,,60.0,31.5,45.25,36.75,17.9,18.5,17.0,31.0
2014-01-31,30.5,86.0,294.0,6.5,127.0,,59.0,31.0,43.25,35.5,17.4,18.05,16.95,30.5
2014-02-03,30.25,86.0,294.0,6.35,121.0,,55.0,29.75,42.5,34.75,17.45,18.05,16.95,30.25
2014-02-04,31.0,88.0,299.0,6.45,128.0,,56.0,30.5,44.0,35.0,17.35,18.1,16.9,31.0
2014-02-05,31.75,88.0,300.0,6.4,125.0,,57.5,31.5,44.0,35.25,17.4,18.4,16.95,31.75
2014-02-06,32.0,90.0,298.0,6.4,131.0,,58.5,31.75,43.75,35.5,17.5,18.6,16.6,32.0
2014-02-07,32.0,93.0,294.0,6.3,128.0,,58.5,31.5,43.75,36.0,17.4,18.85,16.7,32.0
2014-02-10,31.75,95.5,294.0,6.35,126.0,,59.0,32.25,43.75,37.25,17.45,18.95,16.65,31.75
2014-02-11,32.0,98.0,288.0,6.4,126.0,,59.0,32.75,44.75,37.25,17.6,19.1,16.85,32.0
2014-02-12,33.0,98.0,287.0,6.45,126.0,,60.0,33.25,45.0,38.0,17.9,19.45,16.85,33.0
2014-02-13,32.75,99.5,287.0,6.45,125.0,,60.0,33.0,45.75,38.25,17.85,19.35,16.6,32.75
2014-02-14,33.25,102.0,287.0,6.4,126.0,,60.0,33.0,45.75,38.75,17.7,19.45,16.55,33.25
2014-02-17,33.5,109.0,290.0,6.3,127.0,,61.5,32.25,44.25,38.5,17.85,19.65,16.4,33.5
2014-02-18,33.25,107.0,291.0,6.2,122.0,,62.0,32.25,44.25,39.25,17.9,19.75,16.35,33.25
2014-02-19,33.25,102.0,293.0,6.2,123.0,,62.5,32.0,44.0,39.25,17.95,19.5,16.0,33.25
2014-02-20,33.5,102.0,292.0,6.3,123.0,,62.5,32.25,44.25,39.75,18.0,19.1,16.1,33.5
2014-02-21,33.0,101.0,298.0,6.45,132.0,,62.5,32.0,44.0,40.0,18.3,19.2,16.05,33.0
2014-02-24,32.75,103.0,298.0,6.45,125.0,,62.5,31.75,44.0,40.0,18.5,19.05,16.45,32.75
2014-02-25,32.0,106.0,300.0,6.45,126.0,,62.0,32.0,43.75,39.75,18.65,18.65,16.45,32.0
2014-02-26,32.75,107.0,300.0,6.5,126.0,,62.5,32.0,43.75,39.5,18.7,18.4,16.55,32.75
2014-02-27,34.25,109.0,300.0,6.55,126.0,,62.0,31.75,44.75,38.25,18.75,18.4,16.5,34.25
2014-02-28,34.5,106.0,302.0,6.7,126.0,,62.5,32.25,43.75,37.75,18.85,18.35,16.15,34.5
2014-03-03,34.25,102.0,304.0,7.1,126.0,,62.5,32.25,44.0,37.0,18.8,18.2,16.2,34.25
2014-03-04,33.5,100.0,302.0,7.15,126.0,,62.5,32.0,44.0,36.75,18.75,18.15,16.2,33.5
2014-03-05,33.5,100.0,301.0,7.0,126.0,,61.5,32.0,44.0,36.25,18.65,18.15,16.2,33.5
2014-03-06,33.0,100.0,301.0,6.95,125.0,,61.0,33.25,44.75,37.5,18.65,18.25,16.3,33.0
2014-03-07,33.25,101.0,301.0,6.95,125.0,,62.0,33.5,45.0,37.25,18.7,17.85,16.2,33.25
2014-03-10,33.0,107.0,306.0,6.85,125.0,,63.5,33.5,45.25,37.0,18.7,17.5,16.45,33.0
2014-03-11,33.25,109.0,304.0,6.6,125.0,,63.5,33.5,45.75,36.75,18.8,17.55,16.15,33.25
2014-03-12,33.25,114.0,303.0,6.95,124.0,,63.5,33.25,46.25,36.5,18.9,17.9,16.2,33.25
2014-03-13,33.75,110.0,304.0,7.15,125.0,,64.5,33.75,46.0,37.25,18.95,18.5,16.25,33.75
2014-03-14,34.0,109.0,307.0,7.45,125.0,,64.0,34.0,46.0,37.25,19.0,18.5,16.2,34.0
2014-03-17,33.5,107.0,304.0,7.55,126.0,,65.0,31.75,46.0,37.5,19.0,18.3,16.15,33.5
2014-03-18,33.75,107.0,303.0,7.8,126.0,,64.5,31.25,46.5,38.0,19.1,18.2,16.05,33.75
2014-03-19,33.75,107.0,305.0,7.85,125.0,,64.5,31.25,46.5,38.25,20.25,18.1,16.0,33.75
2014-03-20,34.25,107.0,305.0,7.7,124.0,,64.0,31.5,46.5,37.5,20.5,18.05,16.15,34.25
2014-03-21,34.0,107.0,308.0,7.75,125.0,,64.5,32.0,46.75,38.0,20.25,18.0,16.2,34.0
2014-03-24,34.25,106.0,308.0,7.65,125.0,,65.0,32.0,46.75,37.0,20.0,18.05,16.25,34.25
2014-03-25,34.5,105.0,313.0,7.65,125.0,,65.0,32.0,46.75,37.25,20.0,18.2,16.5,34.5
2014-03-26,34.5,105.0,318.0,7.7,127.0,,65.5,31.75,46.5,37.0,20.0,18.3,16.7,34.5
2014-03-27,34.5,106.0,321.0,7.85,125.0,,66.0,31.75,46.0,36.75,20.0,18.2,16.75,34.5
2014-03-28,34.5,111.0,319.0,7.95,125.0,,63.5,31.75,46.0,36.5,20.25,18.2,16.65,34.5
2014-03-31,34.5,105.0,312.0,8.0,125.0,,63.5,31.75,46.0,36.5,20.0,18.25,16.1,34.5
2014-04-01,35.0,106.0,311.0,8.45,125.0,,63.5,31.5,46.0,36.25,20.0,18.2,16.25,35.0
2014-04-02,34.5,107.0,311.0,8.3,125.0,,64.5,31.5,46.0,35.5,20.0,18.0,16.4,34.5
2014-04-03,34.5,106.0,312.0,8.3,125.0,,64.0,31.75,46.25,36.0,20.0,17.95,16.45,34.5
2014-04-04,35.0,107.0,313.0,8.4,125.0,,63.5,31.75,46.0,36.25,20.0,18.0,16.45,35.0
2014-04-07,35.0,107.0,313.0,8.4,125.0,,62.5,32.0,46.0,36.75,19.95,18.05,16.45,35.0
2014-04-08,34.75,107.0,315.0,8.3,125.0,,62.5,31.75,46.0,37.0,19.95,18.0,16.3,34.75
2014-04-09,34.75,109.0,319.0,8.4,125.0,,63.0,32.0,46.25,37.25,20.0,18.05,16.25,34.75
2014-04-10,35.0,108.0,315.0,8.6,129.0,,62.0,31.75,46.25,37.25,20.0,17.95,16.1,35.0
2014-04-11,35.5,109.0,319.0,9.0,129.0,,61.5,32.25,47.25,38.0,20.0,18.0,16.15,35.5
2014-04-14,36.0,109.0,317.0,8.8,126.0,,61.5,32.5,47.25,38.5,20.0,18.0,16.2,36.0
2014-04-15,36.25,110.0,318.0,8.9,125.0,,61.5,32.0,47.25,38.75,20.25,18.15,16.2,36.25
2014-04-16,36.5,115.0,318.0,8.9,126.0,,61.0,32.25,46.75,38.25,20.5,18.2,16.25,36.5
2014-04-17,37.0,121.0,318.0,8.9,126.0,,62.0,32.75,47.25,38.0,21.0,18.2,16.35,37.0
2014-04-22,37.0,119.0,323.0,8.85,127.0,,62.0,34.0,47.75,38.0,21.25,18.1,16.35,37.0
2014-04-23,35.5,118.0,321.0,8.95,127.0,,61.5,35.75,48.5,38.5,21.5,18.05,16.45,35.5
2014-04-24,34.0,119.0,308.0,9.7,126.0,,62.0,35.5,49.25,38.25,22.25,18.0,16.65,34.0
2014-04-25,33.75,124.0,317.0,9.75,128.0,,62.0,36.25,49.75,39.25,22.75,18.05,16.8,33.75
2014-04-28,35.25,125.0,317.0,9.75,127.0,,63.5,37.25,49.25,39.0,22.75,18.05,16.8,35.25
2014-04-29,35.75,125.0,315.0,9.8,128.0,,63.0,38.75,49.75,39.75,22.75,18.1,17.0,35.75
2014-04-30,35.75,129.0,308.0,10.05,128.0,,63.0,38.25,49.0,39.5,22.75,18.1,16.95,35.75
2014-05-02,36.0,134.0,309.0,10.45,130.0,,63.5,38.5,50.0,38.75,22.75,18.1,17.0,36.0
2014-05-05,36.25,135.0,306.0,11.3,129.0,,63.5,38.75,49.75,38.25,22.75,18.0,17.0,36.25
2014-05-06,37.25,135.0,308.0,11.7,129.0,,63.5,38.75,49.5,38.75,22.75,17.6,17.0,37.25
2014-05-07,37.75,135.0,305.0,11.6,134.0,,63.0,39.25,49.5,38.25,22.75,17.6,17.05,37.75
2014-05-08,37.0,135.0,305.0,11.15,128.0,,64.0,40.75,48.75,38.25,23.0,17.7,17.0,37.0
2014-05-09,38.0,135.0,305.0,11.1,128.0,,59.5,41.0,48.75,38.5,23.25,17.75,17.0,38.0
2014-05-12,36.5,138.0,306.0,11.4,128.0,,59.5,40.75,49.0,38.5,24.0,17.7,17.0,36.5
2014-05-13,36.0,148.0,307.0,11.35,128.0,,60.0,40.75,47.0,38.5,24.0,17.7,16.95,36.0
2014-05-14,38.75,148.0,308.0,11.2,128.0,,60.0,40.25,47.0,39.0,23.5,17.75,16.95,38.75
2014-05-15,42.0,142.0,309.0,11.15,128.0,,60.0,39.5,47.0,40.0,22.5,17.8,17.0,42.0
2014-05-16,39.25,139.0,309.0,11.25,128.0,,59.5,39.0,46.75,40.0,22.5,17.7,17.0,39.25
2014-05-19,38.75,140.0,309.0,11.0,127.0,,58.0,37.75,46.75,39.75,22.25,17.65,17.0,38.75
2014-05-20,38.0,140.0,310.0,10.6,127.0,,59.0,37.75,46.75,39.75,22.25,17.5,17.0,38.0
2014-05-21,38.5,140.0,312.0,10.15,129.0,,59.0,38.0,46.25,39.75,22.25,17.4,17.0,38.5
2014-05-22,37.75,144.0,310.0,9.9,128.0,,59.0,38.75,46.5,39.5,22.0,17.45,17.0,37.75
